ID,WBS,Task,Phase,Owner,Start,End,Duration,Notes
MOB-001,A0,MOBILIZATION,MOBILIZATION,All,2026-01-26,2026-02-05 00:00:00,10.0,
SPM-001,A0,SPMT,BUFFER,All,2026-01-26,2026-02-05 00:00:00,10.0,
A1000,A0,Mobilization of 1st set of SPMT; Asembly + Function Test,MOBILIZATION,All,2026-01-26,2026-01-26 12:00:00,0.5,
A1010,A0,Mobilization of 2nd set of SPMT; Assembly + Function test,MOBILIZATION,All,2026-02-04,2026-02-04 12:00:00,0.5,
MAR-002,A0,MARINE,BUFFER,All,2026-01-26,2026-01-26 00:00:00,0.0,
A1001,A0,Mobilization of Marine Equipment and Steelworks,MOBILIZATION,All,2026-01-26,2026-01-26 00:00:00,0.0,
JAC-003,A0,"JACKING EQUIPMENT, STEEL BRIDGE",BUFFER,All,2026-01-29,2026-01-29 00:00:00,0.0,
A2010,A0,Mobilization of Jacking Equipment and Steel bridge (prior LCT's arrival to AGI with TR 1&2!)),MOBILIZATION,All,2026-01-29,2026-01-30 00:00:00,1.0,
MOB-001,A0,DEMOBILIZATION,MOBILIZATION,All,2026-02-27,2026-03-09 00:00:00,10.0,
SPM-004,A0,SPMT,BUFFER,All,2026-02-27,2026-03-07 12:00:00,8.5,
A1980,A0,Demobilization of 2nd set of SPMT,MOBILIZATION,All,2026-02-27,2026-02-27 00:00:00,0.0,
A1990,A0,Demobilization of 1st set of SPMT,MOBILIZATION,All,2026-03-06,2026-03-06 00:00:00,0.0,
MAR-005,A0,MARINE,BUFFER,All,2026-03-08,2026-03-08 00:00:00,0.0,
A2000,A0,Demobilization of Marine Equipment and Steelworks,MOBILIZATION,All,2026-03-08,2026-03-08 00:00:00,0.0,
JAC-006,A0,"JACKING EQUIPMENT, STEEL BRIDGE",BUFFER,All,2026-03-08,2026-03-08 00:00:00,0.0,
A2020,A0,Demobilization of Jacking Equipment and Steel bridge,MOBILIZATION,All,2026-03-08,2026-03-08 00:00:00,0.0,
OPE-007,A0,OPERATIONAL,BUFFER,All,2026-01-27,2026-03-08 00:00:00,40.0,
BEA-008,A0,Beam Replacement,BUFFER,All,2026-01-27,2026-02-25 00:00:00,29.0,
A1002,A0,Beam Replacement AGI TR Unit 1 (TR Bay 4) - Two 5t forklifts required,BUFFER,All,2026-01-27,2026-01-27 00:00:00,0.0,
A1003,A0,Beam Replacement AGI TR Unit 2 (TR Bay 3) - Two 5t forklifts required,BUFFER,All,2026-01-28,2026-01-28 00:00:00,0.0,
A1013,A0,Beam Replacement AGI TR Unit 3 (TR Bay 2) - Two 5t forklifts required,BUFFER,All,2026-02-05,2026-02-05 00:00:00,0.0,
A1023,A0,Beam Replacement AGI TR Unit 4 (TR Bay 1) - Two 5t forklifts required,BUFFER,All,2026-02-06,2026-02-06 00:00:00,0.0,
A1033,A0,Beam Replacement AGI TR Unit 5 (TR Bay 5) - Two 5t forklifts required,BUFFER,All,2026-02-15,2026-02-15 00:00:00,0.0,
A1043,A0,Beam Replacement AGI TR Unit 6 (TR Bay 6) - Two 5t forklifts required,BUFFER,All,2026-02-16,2026-02-16 00:00:00,0.0,
A1053,A0,Beam Replacement AGI TR Unit 7 (TR Bay 7) - Two 5t forklifts required,BUFFER,All,2026-02-24,2026-02-24 00:00:00,0.0,
PREP-001,A0,Deck Preparations,DECK_PREP,All,2026-01-27,2026-01-29 00:00:00,2.0,
A1004,A0,"Deck Preparations (D-ring cutting; marking, steel sets installation) - One 5t forklift and Crane required",DECK_PREP,All,2026-01-27,2026-01-27 00:00:00,0.0,
A1005,A0,"Deck Preparations (Steel sets installation, welding) - Crane Required for steel sets installation",DECK_PREP,All,2026-01-28,2026-01-28 00:00:00,0.0,
AGI-009,A0,AGI TR Units 1-2,BUFFER,All,2026-01-29,2026-02-14 00:00:00,16.0,
A1030,A0,Loading of AGI TR Unit 1 on SPMT; lashing; Shifting to Mina Zayed Port RoRo Jetty area,BUFFER,All,2026-01-29,2026-01-29 07:12:00,0.3,
A1040,A0,RoRo Ramp Installation - 5t Frokift and Crane required,BUFFER,All,2026-01-29,2026-01-29 07:12:00,0.3,
