전체 순번,청구 회차,NO,Voyage No,SUBJECT,INVOICE NUMBER,INVOICE DATE,INVOICE DATE_YEAR_MONTH,COST MAIN,COST CENTER A,COST CENTER B,PRICE CENTER,AGENCY_FEE_FOR_CARGO_CLEARANCE_AMOUNT,AGENCY_FEE_FOR_BERTHING_ARRANGEMENT_AMOUNT,AGENCY_FEE_FOR_FW_SUPPLY_ARRANGEMENT_AMOUNT,AGENCY_FOR_ARRANGEMENT_PTW_AMOUNT,YARD_AMOUNT,OFCO_HANDLING_FEE_AMOUNT,SUPPLY_WATER_5001IG_AMOUNT,FORKLIFT_HIRE_CHARGE_AMOUNT,FORKLIFT_MOB_DE_MOB_CHARGE_AMOUNT,CONSUMABLES_AMOUNT,DIESEL_VESSEL_AMOUNT,DOCUMENT_PROCESSING_CHARGE_AMOUNT,BULK_MATERIAL_SOLIDS_A_PARCEL_SIZE_0_10_001_TONS_DIRECT_DELIVERY_AMOUNT,BULK_MATERIAL_BAGGED_CARGO_14_AMOUNT,BULK_MATERIAL_BAGGED_CARGO_15_AMOUNT,BULK_MATERIAL_BAGGED_CARGO_16_AMOUNT,BULK_MATERIAL_BAGGED_CARGO_19_AMOUNT,PEC_CHANGES_AMOUNT,ANCHORAGE_FEES_FOR_NON_CARGO_VESSELS_AMOUNT,CHANNEL_TRANSIT_CROSSING_REQUEST_AMOUNT,CHANNEL_CROSSING_CHARGES_FOR_VESSELS_WITH_1000_TO_3_001_GT_AMOUNT,GENERAL_WASTE_SERVICE_AMOUNT,PORT_DUES_FOR_VESSELS_WITH_ABOVE_1_000_UP_TO_3_001GT_AMOUNT,BUNKERING_LUBE_OIL_SLUDGE_SULPHUR_BILGE_TRANSFER_BUNKERING_PERMIT_AMOUNT,PORT_DUE_CARGO_AMOUNT,WASTE_HANDLING_AMOUNT,BERTHING_SHIFTING_AMOUNT,PILOTAGE_AMOUNT,PILOT_LAUNCH_AMOUNT,GENERAL_CARGO_AMOUNT,GATE_PASS_AMOUNT,PORT_DUE_AMOUNT,WASTE_HANDLING2_AMOUNT,BUNKERING_AMOUNT,HEAVY_LIFT_20FRT_PROJECT_AMOUNT,MANPOWER_RIGGER_AMOUNT,MANPOWER_BANKSMAN_AMOUNT,MANPOWER_FOREMAN_AMOUNT,MANPOWER_SUPERVISOR_AMOUNT,EQUIPMENT_75TON_CRANE_AMOUNT,EQUIPMENT_100TON_CRAN_AMOUNT,EQUIPMENT_150TON_CRANE_AMOUNT,EQUIPMENT_SPREAD_AMOUNT,OTHERS_AMOUNT,TOTAL_AMOUNT
1,1,1,J71-01,AGENCY FEE FOR CARGO CLEARANCE,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR CC,AGENCY FEE FOR CARGO CLEARANCE,500.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
2,1,2,J71-01,ABU DHABI PORTS,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,BULK CARGO HANDLING CHARGES,BULK MATERIAL,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35,3900.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3936.0
3,1,3,J71-02,AGENCY FEE FOR CARGO CLEARANCE,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR CC,AGENCY FEE FOR CARGO CLEARANCE,500.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,501.0
4,1,4,J71-02,ABU DHABI PORTS,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,BULK CARGO HANDLING CHARGES,BULK MATERIAL,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35,4049.5,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4084.5
5,1,5,J71-02,SUPPLY OF 5000 IG FW,OFCO-INV-1024-191,2024-08-01,2024-08-01,AT COST,AT COST,AT COST(WATER SUPPLY),SUPPLY WATER 5000IG,0.0,0,0,0.0,0.0,0.0,454.6,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.6
6,1,6,J71-02,AGENCY FEE FOR FW SUPPLY ARRANGEMENT,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR FW SA,AGENCY_FEE_FOR_FW_SUPPLY_ARRANGEMENT,0.0,0,200,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
7,1,7,J71-03,AGENCY FEE FOR BERTHING ARRANGEMENT,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR BA,AGENCY FEE FOR BERTHING ARRANGEMENT,0.0,1800,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0
8,1,8,J71-03,SAFEEN,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,CHANNEL TRANSIT CHARGES,CHANNEL TRANSIT CHARGES,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4000,0.0,200,6182.5,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10382.5
9,1,9,J71-03,ABU DHABI PORTS,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,PORT DUES & SERVICES CHARGES,PORT DUES,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,150,2500.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650.0
10,1,10,J71-03,AGENCY FEE FOR CARGO CLEARANCE,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR CC,AGENCY FEE FOR CARGO CLEARANCE,500.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
