NO,SCT_Ship_No,PO_No,AWB_No,Vendor,Item,From,To,Ship_Mode,ETA,ATA,Status,Final_Site,Flow_Code,Flow_Desc,Compliance,Customs_Start,Customs_Close,WH_Date,MOSB_Date,Delivery_Date,Weight_KG,CBM,Delay_Days,Remark
1,HVDC-ADOPT-PPL-0001,5000675246,ASLGMS003217/E01,Prysmian,320kV HVDC Cable System,Le Havre,Mina Zayed,B,2023-11-30,2023-12-01,Arrived,MIR/AGI,4,Port → WH → MOSB → Site,PASS,2023-11-29,45261.0,,,2023-12-05,659580.0,1290.89,0,
2,HVDC-ADOPT-PPL-0002,5000675246,ASLGMS003218/E01,Prysmian,320kV HVDC Cable System,Le Havre,Mina Zayed,B,2023-11-30,2023-12-01,Arrived,MIR/AGI,4,Port → WH → MOSB → Site,PASS,2023-11-29,45261.0,,,2023-12-06,23664.182,75.0,0,
3,HVDC-ADOPT-HS-0001,HVDC-Carbon steel Plate-'23-1,ENC109DANJEB11,SCT Trade,Tank Plate & Accessories,Dangjin,Jebel Ali,B,2024-01-07,2024-01-12,Arrived,SHU/DAS/MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-01-12,45307.0,,,2024-01-20,471966.0,60.13,0,
4,HVDC-ADOPT-PPL-0003,5000675246,ASLGMS003258/E01,Prysmian,320kV HVDC Cable System,La Spezia,Khalifa,C,2024-02-12,2024-02-14,Arrived,MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-02-14,45336.0,,,2024-02-26,1074.0,12.67,0,
5,HVDC-ADOPT-PPL-0004,5000675246,ASLGMS003259/E01,Prysmian,320kV HVDC Cable System,La Spezia,Khalifa,C,2024-01-30,2024-01-31,Arrived,MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-01-31,45323.0,,,2024-02-05,27151.0,160.3,0,
6,HVDC-ADOPT-PPL-0005,5000675246,NO.2,Prysmian,320kV HVDC Cable System,Port of Pozzuoli,Mina Zayed,B,2024-01-07,2024-01-07,Arrived,MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-01-16,45308.0,,,2024-01-07,7645.0,26.9,0,
7,HVDC-ADOPT-PPL-0006,5000675246,NO.4,Prysmian,320kV HVDC Cable System,Port of Pozzuoli,Mina Zayed,B,2024-01-07,2024-01-07,Arrived,MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-01-15,45308.0,,,2024-01-07,975.0,1.2,0,
8,HVDC-ADOPT-PPL-0007,5000675246,NO.5,Prysmian,320kV HVDC Cable System,Port of Pozzuoli,Mina Zayed,B,2024-01-07,2024-01-07,Arrived,MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-01-13,45308.0,,,2024-01-07,150.0,1.4,0,
9,HVDC-ADOPT-PPL-0008,5000675246,NO.3,Prysmian,320kV HVDC Cable System,Port of Pozzuoli,Mina Zayed,B,2024-01-07,2024-01-07,Arrived,MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-01-15,45308.0,,,2024-01-07,597.0,0.2,0,
10,HVDC-ADOPT-PPL-0009,5000675246,NO.2,Prysmian,320kV HVDC Cable System,Nordenham,Mina Zayed,B,2024-03-02,2024-03-02,Arrived,Unknown,4,Port → WH → MOSB → Site,PASS,2024-03-02,45353.0,,,2024-03-03,560.0,2.62,0,
11,HVDC-ADOPT-HE-0001,4572116646,GOT36800012,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-01-11,2024-01-11,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-01-15,45307.0,,,2024-01-19,16016.0,351.3,0,
12,HVDC-ADOPT-HE-0002,4572116646,GOT36800018,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-01-21,2024-01-21,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-01-23,45314.0,,2024-05-08,2024-01-25,7456.0,70.8,0,
13,HVDC-ADOPT-HE-0003,4572116646,GOT36800032,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-01-21,2024-01-21,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-01-23,45314.0,,,2024-01-29,35148.0,371.02,0,
